"Symbol","Company name","Listing date","Sector","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",30046569
"1AD","ADALTA LIMITED","2016-08-22","Health Care",34324619
"1AG","ALTERRA LIMITED","2008-05-16","Consumer Services",10650256
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care",8916955
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Technology",945445895
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",122075417
"3DP","POINTERRA LIMITED","2008-03-27","Technology",354492134
"3MF","3D METALFORGE LIMITED","2021-03-02","Consumer Services",31369682
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",363576684
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",217956493
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care",376882938
"5GG","PENTANET LIMITED","2021-01-29","Class Pend",225181294
"5GN","5G NETWORKS LIMITED","2017-11-17","Telecommunication Services",113689817
"88E","88 ENERGY LIMITED","2000-01-20","Energy",284043989
"8CO","8COMMON LIMITED","2014-08-27","Technology",33084110
"8EC","8IP EMERGING COMPANIES LIMITED","2015-12-01","Miscellaneous","N/A"
"8IH","8I HOLDINGS LTD","2014-12-17","Finance",61499045
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",121227056
"92E","92 ENERGY LIMITED","2021-04-15","Energy",22833825
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Technology",25386733
"A1G","AFRICAN GOLD LTD.","2019-02-14","Basic Industries",23245250
"A1M","AIC MINES LIMITED","1993-11-04","Basic Industries",19927355
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",157764195
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4103627561
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",11620132
"A4N","ALPHA HPA LIMITED","2007-10-22","Basic Industries",429273046
"A8G","AUSTRALASIAN GOLD LIMITED","2021-05-13","Basic Industries",7290391
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",750444600
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Basic Industries",6887498
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",5490749
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Basic Industries",53599763
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Basic Industries",14635624
"AAUNB","ANTILLES GOLD LIMITED","1993-11-25","Basic Industries",14635624
"ABA","AUSWIDE BANK LTD","1994-09-19","Finance",274773562
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Class Pend",472043264
"ABC","ADBRI LIMITED","1962-05-31","Basic Industries",2166723483
"ABL","ABILENE OIL AND GAS LIMITED","1974-01-01","Energy","N/A"
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2463960367
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Basic Industries",546642879
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",15165951
"ABX","AUSTRALIAN BAUXITE LIMITED.","2009-12-24","Basic Industries",21816518
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",388734173
